

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.009  000.009: --- NVIM STARTING ---
000.150  000.141: event init
000.425  000.274: early init
001.740  001.316: locale set
001.818  000.078: init first window
002.497  000.678: inits 1
002.544  000.047: window checked
002.713  000.169: parsing arguments
003.288  000.061  000.061: require('vim.shared')
003.394  000.039  000.039: require('vim._meta')
003.396  000.104  000.065: require('vim._editor')
003.397  000.208  000.043: require('vim._init_packages')
003.409  000.488: init lua interpreter
006.193  002.783: expanding arguments
006.233  000.040: inits 2
006.487  000.254: init highlight
006.488  000.002: waiting for UI
006.745  000.256: done waiting for UI
006.755  000.010: clear screen
006.978  000.223: init default mappings & autocommands
008.114  000.111  000.111: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/ftplugin.vim
008.371  000.040  000.040: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/indent.vim
011.541  000.009  000.009: require('vim.F')
011.575  001.268  001.259: require('vim.diagnostic')
036.647  001.456  001.456: require('vim.filetype')
036.655  026.768  024.044: require('atlshearer.settings')
037.556  000.299  000.299: require('atlshearer.keymap')
037.575  000.010  000.010: require('vim.keymap')
041.286  000.689  000.689: require('vim.lsp.log')
042.073  000.783  000.783: require('vim.lsp.protocol')
043.740  000.433  000.433: require('vim.lsp._snippet')
044.013  000.270  000.270: require('vim.highlight')
044.029  001.953  001.250: require('vim.lsp.util')
044.040  004.280  000.855: require('vim.lsp.handlers')
044.663  000.621  000.621: require('vim.lsp.rpc')
045.019  000.353  000.353: require('vim.lsp.sync')
045.574  000.552  000.552: require('vim.lsp.semantic_tokens')
046.228  000.651  000.651: require('vim.lsp.buf')
046.579  000.348  000.348: require('vim.lsp.diagnostic')
047.006  000.425  000.425: require('vim.lsp.codelens')
047.097  008.707  001.478: require('vim.lsp')
047.390  010.733  001.717: require('atlshearer.remap')
047.402  038.324  000.823: require('atlshearer')
047.680  000.277  000.277: require('lazy')
047.733  000.027  000.027: require('ffi')
047.784  000.048  000.048: require('vim.loader')
048.333  000.544  000.544: require('lazy.core.cache')
048.965  000.586  000.586: require('lazy.stats')
049.359  000.343  000.343: require('lazy.core.util')
049.694  000.331  000.331: require('lazy.core.config')
050.568  000.454  000.454: require('lazy.core.handler')
050.779  000.208  000.208: require('lazy.core.plugin')
050.786  001.089  000.427: require('lazy.core.loader')
051.557  000.272  000.272: require('plugins.colour-scheme')
051.842  000.273  000.273: require('plugins.editing')
052.174  000.227  000.227: require('plugins.git')
052.411  000.203  000.203: require('plugins.lsp')
052.616  000.182  000.182: require('plugins.telescope')
052.829  000.199  000.199: require('plugins.treesitter')
053.193  000.216  000.216: require('plugins.ui')
053.931  000.227  000.227: require('lazy.core.handler.cmd')
054.130  000.194  000.194: require('lazy.core.handler.event')
054.393  000.260  000.260: require('lazy.core.handler.keys')
054.644  000.247  000.247: require('lazy.core.handler.ft')
056.079  000.831  000.831: sourcing /Users/alex/.local/share/bob/v0.9.0/nvim-macos/share/nvim/runtime/filetype.lua
060.136  000.216  000.216: require('tokyonight.treesitter')
060.143  000.479  000.262: require('tokyonight.util')
060.725  000.289  000.289: require('tokyonight.colors')
060.729  000.585  000.297: require('tokyonight.theme')
060.990  000.259  000.259: require('tokyonight.config')
060.996  002.000  000.678: require('tokyonight')
062.929  000.262  000.262: require('vim.treesitter.language')
062.941  000.583  000.320: require('vim.treesitter.query')
063.157  000.214  000.214: require('vim.treesitter._range')
063.175  001.159  000.362: require('vim.treesitter.languagetree')
063.183  001.471  000.312: require('vim.treesitter')
063.542  000.327  000.327: require('vim.treesitter.highlighter')
064.625  005.765  001.967: sourcing /Users/alex/.local/share/nvim/lazy/tokyonight.nvim/colors/tokyonight.lua
065.807  000.864  000.864: require('rust-tools')
066.464  000.303  000.303: require('rust-tools.utils.utils')
066.470  000.659  000.356: require('rust-tools.code_action_group')
066.745  000.274  000.274: require('rust-tools.cached_commands')
067.070  000.321  000.321: require('rust-tools.commands')
067.895  000.292  000.292: require('rust-tools.executors.termopen')
068.225  000.326  000.326: require('rust-tools.executors.quickfix')
068.555  000.326  000.326: require('rust-tools.executors.toggleterm')
068.560  001.241  000.296: require('rust-tools.executors')
068.581  001.509  000.268: require('rust-tools.config')
068.889  000.306  000.306: require('rust-tools.crate_graph')
069.138  000.245  000.245: require('rust-tools.dap')
069.413  000.271  000.271: require('rust-tools.debuggables')
069.724  000.306  000.306: require('rust-tools.expand_macro')
070.003  000.275  000.275: require('rust-tools.external_docs')
070.313  000.306  000.306: require('rust-tools.hover_actions')
